"CRN","Subject","Course","Section","Title","Credits","MeetingType","Time","Days","Location","DateRange","ScheduleType","Instructors"
"12538","CS","300","0","Data Structures","3.000","Class","8:40 am - 9:30 am","T","Sabancı Business School G071","Sep 28, 2026 - Dec 31, 2026","2nd del","Cemal Yılmaz (P)"
"12538","CS","300","0","Data Structures","3.000","Class","2:40 pm - 4:30 pm","F","Sabancı Business School G071","Sep 28, 2026 - Dec 31, 2026","1st del","Cemal Yılmaz (P)"
"10101","CS","300R","A1","Data Structures-Recitation","0.000","Class","5:40 pm - 7:30 pm","M","Fac. of Engin. and Nat. Sci. G032","Sep 28, 2026 - Dec 31, 2026","1st del","Cemal Yılmaz (P)"
"10103","CS","300R","A2","Data Structures-Recitation","0.000","Class","5:40 pm - 7:30 pm","M","Fac. of Engin. and Nat. Sci. G035","Sep 28, 2026 - Dec 31, 2026","1st del","Cemal Yılmaz (P)"
"10104","CS","300R","B1","Data Structures-Recitation","0.000","Class","5:40 pm - 7:30 pm","T","Fac. of Engin. and Nat. Sci. G032","Sep 28, 2026 - Dec 31, 2026","1st del","Cemal Yılmaz (P)"
"10105","CS","300R","B2","Data Structures-Recitation","0.000","Class","5:40 pm - 7:30 pm","T","Fac.of Arts and Social Sci. G018","Sep 28, 2026 - Dec 31, 2026","1st del","Cemal Yılmaz (P)"
"10106","CS","301","0","Algorithms","3.000","Class","4:40 pm - 5:30 pm","W","Sabancı Business School G071","Sep 28, 2026 - Dec 31, 2026","2nd del","Hüsnü Yenigün (P)"
"10106","CS","301","0","Algorithms","3.000","Class","2:40 pm - 4:30 pm","F","Fac. of Engin. and Nat. Sci. G077","Sep 28, 2026 - Dec 31, 2026","1st del","Hüsnü Yenigün (P)"
"10111","CS","301R","A1","Algorithms-Recitation","0.000","Class","6:40 pm - 7:30 pm","M","Fac.of Arts and Social Sci. G062","Sep 28, 2026 - Dec 31, 2026","1st del","Hüsnü Yenigün (P)"
"12541","CS","301R","A2","Algorithms-Recitation","0.000","Class","6:40 pm - 7:30 pm","M","University Center G030","Sep 28, 2026 - Dec 31, 2026","1st del","Hüsnü Yenigün (P)"
"10116","CS","302","0","Formal Languages and Automata Theory","3.000","Class","12:40 pm - 1:30 pm","M","Fac.of Arts and Social Sci. 1010","Sep 28, 2026 - Dec 31, 2026","2nd del","Kemal İnan (P)"
"10116","CS","302","0","Formal Languages and Automata Theory","3.000","Class","12:40 pm - 2:30 pm","R","Fac.of Arts and Social Sci. 1050","Sep 28, 2026 - Dec 31, 2026","1st del","Kemal İnan (P)"
