"Management Ph.D. - Operations and Supply Chain Management Area - With Master's Degree","200501","200502","200503","200601","200602","200603","200701","200702","200703","200801","200802","200803","200901","200902","200903","201001","201002","201003","201101","201102","201103","201201","201202","201203","201301","201302","201303","201401","201402","201403","201501","201502","201503","201601","201602","201603","201701","201702","201703","201801","201802","201803","201901","201902","201903","202001","202002","202003","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
EE 544,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 550,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 553,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 554,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 555,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 556,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 557,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 560,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 561,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 562,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 563,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 565,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 566,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 567,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 568,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 569,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 571,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 572,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 573,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 575,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 580,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE 58000,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,
EE 58001,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,
EE 58002,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,
EE 58003,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 58004,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,
EE 58005,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,,,,,,,,,,,,,,,,,,,,,
EE 58006,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 58008,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 58009,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 58010,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 58011,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 5807,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 581,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE 584,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE 585,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE 606,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 620,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 621,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 625,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 626,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 627,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 628,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 629,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 630,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 631,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 632,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 633,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 634,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 635,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 636,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 637,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 638,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 639,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE 651,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 652,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 653,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 654,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 661,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 662,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 665,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
EE 672,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
EE 680,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE 68000,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE 681,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE 684,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE 685,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENRG 520,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ENRG 521,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ENRG 522,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ENRG 523,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ENRG 524,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ENRG 526,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ENS 509,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,
ENS 511,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,
ENS 512,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENS 513,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ENS 514,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ENS 516,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENS 521,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,
ENS 525,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ENS 526,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENS 555,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENS 580,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENS 5803,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,
ENS 581,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES 501,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES 502,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ES 504,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,
ES 505,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ES 507,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,,,,,,,,,,,,,,,,,,,,,
ES 523,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES 524,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ES 554,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ES 592,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ETM 551,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ETM 580,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
FILM 524,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,
FILM 535,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,
FILM 536,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,
FIN 552,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,
FIN 601,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FIN 602,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FIN 611,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FIN 612,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FIN 618,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FIN 619,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FIN 620,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FIN 621,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FIN 622,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FIN 690,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
GEN 540,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
GEN 541,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,
GEN 542,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
GEN 544,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
GEN 585,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
GEN 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
GEN 601,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
GEN 605,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
GEN 610,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
GEN 680,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
GEN 690,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
GEN 699,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
GEN 700,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
GR 700E,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HART 511,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HART 513,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HART 514,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,
HART 520,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HART 521,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,
HART 525,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HART 532,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HART 550,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,
HART 580,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HART 623,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HART 626,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 501,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 502,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 503,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 504,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
