"Experimental Psychology - With Master's Degree","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
ECON 592,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 601,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 602,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 603,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 604,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 605,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 607,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 630,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 635,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 688,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 691,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 692,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 516,F,F,F,F,,,,,,,,,,,,
EE 518,F,F,F,,,,,,,,,,,,,
EE 520,F,F,F,F,,,,,,,,,,,,
EE 521,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 522,F,F,F,F,,,,,,,,,,,,
EE 523,F,F,F,F,,,,,,,,,,,,
EE 524,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 525,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 529,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 530,F,F,F,F,,,,,,,,,,,,
EE 531,F,F,F,F,,,,,,,,,,,,
EE 532,F,F,F,F,,,,,,,,,,,,
EE 533,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 534,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 535,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 536,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 537,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 539,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 540,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 541,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 542,F,F,F,F,,,,,,,,,,,,
EE 544,F,F,F,F,,,,,,,,,,,,
EE 550,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 553,F,F,F,F,,,,,,,,,,,,
EE 554,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 555,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 556,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 557,F,F,F,F,,,,,,,,,,,,
EE 560,F,F,F,F,,,,,,,,,,,,
EE 561,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 562,F,F,F,F,,,,,,,,,,,,
EE 563,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 565,F,F,F,F,,,,,,,,,,,,
EE 566,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 567,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 568,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 569,F,F,F,F,,,,,,,,,,,,
EE 571,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 572,F,F,F,F,,,,,,,,,,,,
EE 573,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 575,F,F,F,F,,,,,,,,,,,,
EE 58000,F,F,F,,,,,,,,,,,,,
EE 58001,F,F,F,F,F,F,F,F,F,F,F,F,,,,
EE 58003,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 58006,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 58008,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 58009,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 58010,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 58011,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 5807,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 606,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 620,F,F,F,F,,,,,,,,,,,,
EE 621,F,F,F,F,,,,,,,,,,,,
EE 625,F,F,F,F,,,,,,,,,,,,
EE 626,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 627,F,F,F,F,,,,,,,,,,,,
EE 628,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 629,F,F,F,F,,,,,,,,,,,,
EE 630,F,F,F,F,,,,,,,,,,,,
EE 631,F,F,F,F,,,,,,,,,,,,
EE 632,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 633,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 634,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 635,F,F,F,F,,,,,,,,,,,,
EE 636,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 637,F,F,F,F,,,,,,,,,,,,
EE 638,F,F,F,F,,,,,,,,,,,,
EE 651,F,F,F,F,,,,,,,,,,,,
EE 652,F,F,F,F,,,,,,,,,,,,
EE 653,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 654,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 661,F,F,F,F,,,,,,,,,,,,
EE 662,F,F,F,F,,,,,,,,,,,,
EE 665,F,F,F,F,,,,,,,,,,,,
EE 672,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENRG 520,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENRG 521,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENRG 522,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENRG 523,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENRG 524,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENRG 526,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENS 505,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENS 511,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENS 513,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENS 514,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENS 521,F,F,F,F,F,F,,,,,,,,,,
ENS 525,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENS 5803,F,F,F,F,F,,,,,,,,,,,
ES 502,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ES 505,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ES 524,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ES 554,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ES 592,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ETM 551,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ETM 580,F,F,F,F,,,,,,,,,,,,
FILM 524,F,F,F,F,F,F,F,F,,,,,,,,
FILM 535,F,F,F,F,F,F,F,F,,,,,,,,
FILM 536,F,F,F,F,F,F,F,F,,,,,,,,
FIN 552,F,,,,,,,,,,,,,,,
FIN 556,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
FIN 601,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
FIN 602,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
FIN 610,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
FIN 611,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
FIN 612,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
FIN 618,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
FIN 619,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
FIN 620,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
FIN 621,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
FIN 622,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
FIN 690,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
FIN 958,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
GEN 540,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
GEN 541,F,,,,,,,,,,,,,,,
GEN 542,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
GEN 544,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
GEN 585,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
GEN 600,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
GEN 601,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
GEN 605,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
GEN 610,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
GEN 680,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
GEN 690,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
GEN 699,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
GEN 700,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
GR 500S,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
GR 700E,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HART 511,F,F,F,F,,,,,,,,,,,,
HART 513,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HART 514,F,F,F,F,F,F,F,F,,,,,,,,
HART 520,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HART 521,F,F,F,F,F,F,F,F,,,,,,,,
HART 525,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HART 532,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HART 550,F,,,,,,,,,,,,,,,
HART 580,F,F,F,F,,,,,,,,,,,,
HIST 501,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 502,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 503,F,F,F,F,,,,,,,,,,,,
HIST 504,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 506,F,F,F,F,,,,,,,,,,,,
HIST 511,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 512,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 513,F,F,F,F,,,,,,,,,,,,
HIST 514,F,F,F,F,,,,,,,,,,,,
HIST 515,F,F,F,,,,,,,,,,,,,
HIST 516,F,F,F,F,,,,,,,,,,,,
HIST 517,F,F,F,,,,,,,,,,,,,
HIST 519,F,F,F,F,,,,,,,,,,,,
HIST 521,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 524,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 525,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 527,F,F,F,F,,,,,,,,,,,,
HIST 531,F,F,F,,,,,,,,,,,,,
HIST 533,F,F,F,F,,,,,,,,,,,,
HIST 535,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 538,F,F,F,F,,,,,,,,,,,,
HIST 539,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 547,F,F,F,F,,,,,,,,,,,,
HIST 550,F,F,F,F,,,,,,,,,,,,
HIST 553,F,F,F,F,,,,,,,,,,,,
HIST 555,F,F,F,F,,,,,,,,,,,,
HIST 556,F,F,F,F,,,,,,,,,,,,
HIST 561,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 563,F,F,F,F,,,,,,,,,,,,
HIST 564,F,F,F,F,,,,,,,,,,,,
HIST 565,F,F,F,F,,,,,,,,,,,,
HIST 570,F,F,F,F,,,,,,,,,,,,
HIST 571,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 572,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 573,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 575,F,F,F,F,,,,,,,,,,,,
HIST 576,F,F,F,F,,,,,,,,,,,,
HIST 581,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 586,F,F,F,F,,,,,,,,,,,,
HIST 587,F,F,F,F,,,,,,,,,,,,
HIST 588,F,F,F,F,,,,,,,,,,,,
HIST 589,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 591,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 592,F,F,F,F,F,F,F,F,F,,,,,,,
HIST 593,F,F,F,F,,,,,,,,,,,,
HIST 596,F,F,F,F,,,,,,,,,,,,
HIST 597,F,F,F,F,,,,,,,,,,,,
HIST 601,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 602,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 609,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 610,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 613,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 623,F,F,F,F,,,,,,,,,,,,
HIST 625,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 631,F,F,F,F,,,,,,,,,,,,
HIST 632,F,F,F,F,,,,,,,,,,,,
HIST 633,F,F,F,F,,,,,,,,,,,,
HIST 634,F,F,F,F,,,,,,,,,,,,
HIST 635,F,F,F,F,,,,,,,,,,,,
HIST 636,F,F,F,F,,,,,,,,,,,,
HIST 637,F,F,F,F,,,,,,,,,,,,
HIST 638,F,F,F,F,,,,,,,,,,,,
HIST 650,F,F,F,F,,,,,,,,,,,,
HIST 664,F,F,F,F,,,,,,,,,,,,
