"Data Science and Analytics","202501","202502","202503","202601"
POLS 405,F,F,F,F
POLS 408,F,F,F,F
POLS 421,F,F,F,F
POLS 422,F,F,F,F
POLS 434,F,F,F,F
POLS 446,F,F,F,F
POLS 448,F,F,F,F
POLS 455,F,F,F,F
POLS 457,F,F,F,F
POLS 473,F,F,F,F
POLS 483,F,F,F,F
POLS 491,F,F,F,F
POLS 492,F,F,F,F
POLS 493,F,F,F,F
POLS 495,F,F,F,F
PROJ 102,F,F,F,F
PROJ 301,F,F,F,F
PROJ 401,F,F,F,F
PSY 201,F,F,F,F
PSY 203,F,F,F,F
PSY 303,F,F,F,F
PSY 310,F,F,F,F
PSY 311,F,F,F,F
PSY 312,F,F,F,F
PSY 314,F,F,F,F
PSY 315,F,F,F,F
PSY 316,F,F,F,F
PSY 317,F,F,F,F
PSY 320,F,F,F,F
PSY 322,F,F,F,F
PSY 323,F,F,F,F
PSY 325,F,F,F,F
PSY 341,F,F,F,F
PSY 343,F,F,F,F
PSY 344,F,F,F,F
PSY 350,F,F,F,F
PSY 360,F,F,F,F
PSY 361,F,F,F,F
PSY 362,F,F,F,F
PSY 363,F,F,F,F
PSY 364,F,F,F,F
PSY 366,F,F,F,F
PSY 368,F,F,F,F
PSY 398,F,F,F,F
PSY 399,F,F,F,F
PSY 403,F,F,F,F
PSY 410,F,F,F,F
PSY 411,F,F,F,F
PSY 414,F,F,F,F
PSY 415,F,F,F,F
PSY 416,F,F,F,F
PSY 418,F,F,F,F
PSY 421,F,F,F,F
PSY 422,F,F,F,F
PSY 424,F,F,F,F
PSY 442,F,F,F,F
PSY 443,F,F,F,F
PSY 444,F,F,F,F
PSY 445,F,F,F,F
PSY 450,F,F,F,F
PSY 467,F,F,F,F
PSY 469,F,F,F,F
PSY 480,F,F,F,F
PSY 481,F,F,F,F
SOC 201,F,F,F,F
SOC 301,F,F,F,F
SOC 399,F,F,F,F
SOC 408,F,F,F,F
SOC 420,F,F,F,F
SOC 425,F,F,F,F
SOC 432,F,F,F,F
SPS 201,F,F,F,F
SPS 374,F,F,F,F
SPS 384,F,F,F,F
SPS 394,F,F,F,F
SPS 404,F,F,F,F
VA 201,F,F,F,F
VA 202,F,F,F,F
VA 203,F,F,F,F
VA 204,F,F,F,F
VA 234,F,F,F,F
VA 267,F,F,F,F
VA 301,F,F,F,F
VA 302,F,F,F,F
VA 303,F,F,F,F
VA 304,F,F,F,F
VA 310,F,F,F,F
VA 311,F,F,F,F
VA 312,F,F,F,F
VA 315,F,F,F,F
VA 323,F,F,F,F
VA 324,F,F,F,F
VA 325,F,F,F,F
VA 328,F,F,F,F
VA 329,F,F,F,F
VA 331,F,F,F,F
VA 333,F,F,F,F
VA 335,F,F,F,F
VA 399,F,F,F,F
VA 401,F,F,F,F
VA 402,F,F,F,F
VA 403,F,F,F,F
VA 404,F,F,F,F
VA 420,F,F,F,F
VA 423,F,F,F,F
VA 424,F,F,F,F
VA 430,F,F,F,F
VA 431,F,F,F,F
VA 433,F,F,F,F
VA 434,F,F,F,F
VA 437,F,F,F,F
VA 440,F,F,F,F
VA 450,F,F,F,F
VA 453,F,F,F,F
VA 455,F,F,F,F
VA 465,F,F,F,F
VA 490,F,F,F,F
XM 490,F,F,F,F
CS 48007,F,,,
