"Visual Arts and Visual Communications Design","201901","201902","201903","202001","202002","202003","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
HART 411,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,,,,,,,,
HART 413,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1
HART 414,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,,,,,,,,
HART 426,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1
HART 450,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,,,,,,,,
HART 480,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,,,,,,,,
PHIL 322,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,FFree,FFree,FFree,FFree,FFree,FFree,FFree
VA 315,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A,CCore 1:A
VA 420,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1
VA 430,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1
VIS 412,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,CCore 1,,,,,,,,
