"Political Science and International Relations","202001","202002","202003","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
ECON 330,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 340,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 345,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 350,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 360,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 370,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 399,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 400,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 401,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 405,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 407,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 414,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 415,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 420,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 430,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 435,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 440,F,F,F,,,,,,,,,,,,,,,,
ECON 481,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 482,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 483,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 484,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 488,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 492,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 494,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ECON 495,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 200,F,F,F,F,F,F,F,F,F,F,F,F,F:E,F:E,F:E,F:E,F:E,F:E,F:E
EE 202,F,F,F,F,F,F,F,F,F,F,F,F,F:E,F:E,F:E,F:E,F:E,F:E,F:E
EE 302,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 303,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 306,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 307,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 308,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 310,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 311,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 312,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 313,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 314,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 321,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 401,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 402,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 403,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 404,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 405,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 406,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 407,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 408,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 409,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 410,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 411,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 413,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 414,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 415,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 417,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 419,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 423,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
